pkType,cybersourceTransactionId,sourceId,merchantNumber,cardTypeCode,cardTypeDescription,cardTypeIndicator,cardNumber,last4AccountNumber,expirationDate,transactionCode,transactionDate,transactionTime,authorizationAmount,authorizationResponseCode,currency,foreignCardIndicator,transactionId,fileSource,referenceNumber,moto,pkFilter,id,version,cvvResult,avsCode,authorizationNumber,terminalId,binNumber,pointOfSale,keyedEntry,merchantInformationBinNumber,agentNumber,officeName,merchantName
cybersource:authorization,7628373621036783404603,aef46a41-5cdd-4a7f-9b56-d5575e96ddaf,crest_test001,,,,xxxxxx,,/,ics_void - Voided Transactions,20251111,5:02:42,0,Declined,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",TRUE,,API https://apitest.cybersource.com/tss/v2/transactions/7628373621036783404603,,FALSE,20251111,cf71afdd-c038-48e9-8e22-ebc5b8bd102a,20251110.1,,,,,,,,,,,
cybersource:authorization,7628396887546034803813,707a0e21-146b-4985-9436-42ab9be41cdb,salequicktest001,VI,Visa,credit card,411111xxxxxx1111,1111,Dec-31,ics_auth - Card Authorization,20251111,5:41:28,200,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,016153570198200,API https://apitest.cybersource.com/tss/v2/transactions/7628396887546034803813,7628396887546034803813,FALSE,20251111,15ed165f-d87a-4948-99a4-a07017e634ed,20251110.1,M - Card verification number matched.,Y,831000,,411111,,,,,,
cybersource:authorization,7628384216826476803814,043c0e3d-d75e-44b4-a414-fab8fcb45cac,salequicktest001,MC,Mastercard,credit card,555555xxxxxx4444,4444,Dec-31,ics_auth - Card Authorization,20251111,5:20:21,1,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,1111MCC132686  ,API https://apitest.cybersource.com/tss/v2/transactions/7628384216826476803814,7628384216826476803814,FALSE,20251111,707d7e69-e554-42e7-897d-2c166c5e514f,20251110.1,M - Card verification number matched.,Y,831000,,555555,,,,,,
cybersource:authorization,7628386865616708103813,33aab1e4-fecb-42ab-9c46-c7e77a12dbee,salequicktest001,,,,xxxxxx,,/,ics_bill - Card Settlement,20251111,5:24:46,0,Declined,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",TRUE,,API https://apitest.cybersource.com/tss/v2/transactions/7628386865616708103813,,FALSE,20251111,6f66e926-020f-4b31-921c-bdd67bec7894,20251110.1,,,,,,,,,,,
cybersource:authorization,7628388155806733503813,8ee222f9-7521-4910-a6af-547769a2341c,salequicktest001,MC,Mastercard,credit card,555555xxxxxx4444,4444,Dec-31,ics_auth - Card Authorization,20251111,5:26:55,200,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,1111MCC404634  ,API https://apitest.cybersource.com/tss/v2/transactions/7628388155806733503813,7628388155806733503813,FALSE,20251111,ae0db45f-f4bc-4e95-bd7a-7c009f9b77d5,20251110.1,M - Card verification number matched.,Y,831000,,555555,,,,,,
cybersource:authorization,7628383813466014103812,35c72ee5-da52-4540-a193-4643d00d9a5e,salequicktest001,,,,xxxxxx,,/,ics_bill - Card Settlement,20251111,5:19:41,0,Declined,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",TRUE,,API https://apitest.cybersource.com/tss/v2/transactions/7628383813466014103812,,FALSE,20251111,dcafbda1-612f-4ceb-b6d8-957777db53d3,20251110.1,,,,,,,,,,,
cybersource:authorization,7628381260626932903812,ce13716c-b185-4f2e-9540-9396e292b599,salequicktest001,MC,Mastercard,credit card,555555xxxxxx4444,4444,Dec-31,ics_auth - Card Authorization,20251111,5:15:26,1,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,1111MCC930372  ,API https://apitest.cybersource.com/tss/v2/transactions/7628381260626932903812,7628381260626932903812,FALSE,20251111,cc37f9a5-2177-4190-9932-ac1ef7afd5be,20251110.1,M - Card verification number matched.,Y,831000,,555555,,,,,,
cybersource:authorization,7628389005866123703812,41bbb338-b0ad-4550-afc4-39e152212070,salequicktest001,MC,Mastercard,credit card,xxxxxx4444,4444,Dec-31,ics_bill - Card Settlement,20251111,5:28:20,100,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,1111MCC404634  ,API https://apitest.cybersource.com/tss/v2/transactions/7628389005866123703812,7628388155806733503813,FALSE,20251111,74ef6220-089d-4fa4-a30b-8b0b7cea6150,20251110.1,M - Card verification number matched.,Y,,,,,,,,,
cybersource:authorization,7628385336756050403812,0938caa8-ce27-4fa6-93f3-f8c00ff706ad,salequicktest001,,,,xxxxxx,,/,ics_bill - Card Settlement,20251111,5:22:13,0,Declined,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",TRUE,,API https://apitest.cybersource.com/tss/v2/transactions/7628385336756050403812,,FALSE,20251111,d08ca610-4af3-427c-a119-c7df6e2a5a97,20251110.1,,,,,,,,,,,
cybersource:authorization,7628373184806787804604,99bf61fe-7d64-49fa-be92-652c335de130,crest_test001,VI,Visa,credit card,401704xxxxxx4265,4265,30-Nov,ics_auth - Card Authorization,20251111,5:01:58,1.04,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,016153570198200,API https://apitest.cybersource.com/tss/v2/transactions/7628373184806787804604,7628373184806787804604,FALSE,20251111,0f3fea4f-773c-439d-a8e0-ebaf866429bf,20251110.1,,Y,831000,10000015,401704,contactless,No,,,,
cybersource:authorization,7628381980096571203813,e936cd38-9b8c-42e5-aca0-6534858b3f2d,salequicktest001,MC,Mastercard,credit card,555555xxxxxx4444,4444,Dec-31,ics_auth - Card Authorization,20251111,5:16:38,1,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,1111MCC256986  ,API https://apitest.cybersource.com/tss/v2/transactions/7628381980096571203813,7628381980096571203813,FALSE,20251111,ce9de973-d25b-4f22-aab0-e2adf6a02726,20251110.1,M - Card verification number matched.,Y,831000,,555555,,,,,,
cybersource:authorization,7628392275856932103813,0801d34b-9e48-407f-825a-67b2f2cbcc97,salequicktest001,VI,Visa,credit card,411111xxxxxx1111,1111,Dec-31,ics_auth - Card Authorization,20251111,5:33:47,200,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,016153570198200,API https://apitest.cybersource.com/tss/v2/transactions/7628392275856932103813,7628392275856932103813,FALSE,20251111,07062bf3-8063-413c-a8d3-fec7d82fd1a2,20251110.1,M - Card verification number matched.,Y,831000,,411111,,,,,,
cybersource:authorization,7628409402436310204805,019f4990-907f-47ec-a6a8-468f063c8d68,salequicktest001,VI,Visa,credit card,411111xxxxxx1111,1111,Dec-31,ics_auth - Card Authorization,20251111,6:02:20,100,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,016153570198200,API https://apitest.cybersource.com/tss/v2/transactions/7628409402436310204805,7628409402436310204805,FALSE,20251111,8a62d480-b696-466d-85e4-f0d7665bd20b,20251110.1,,Y,831000,,411111,,,,,,
cybersource:authorization,7628436638136877004807,070d5eb1-93e7-4c13-98b8-ecbc08a8bf44,salequicktest001,VI,Visa,credit card,411111xxxxxx1111,1111,Dec-31,ics_auth - Card Authorization,20251111,6:47:43,100,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,016153570198200,API https://apitest.cybersource.com/tss/v2/transactions/7628436638136877004807,7628436638136877004807,FALSE,20251111,290b8932-38ca-467a-986d-57adff6194da,20251110.1,,Y,831000,,411111,,,,,,
cybersource:authorization,7628428818226804704806,9a67c10b-37e6-4741-83db-7853f06e3286,salequicktest001,VI,Visa,credit card,411111xxxxxx1111,1111,Dec-31,ics_auth - Card Authorization,20251111,6:34:41,100,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,016153570198200,API https://apitest.cybersource.com/tss/v2/transactions/7628428818226804704806,7628428818226804704806,FALSE,20251111,ab19a286-69fc-4228-8f5d-fa1998c6dfde,20251110.1,,Y,831000,,411111,,,,,,
cybersource:authorization,7628452132246978904807,f34ba2ed-0371-4e24-b1ba-f38c48bbf900,salequicktest001,MC,Mastercard,credit card,555555xxxxxx4444,4444,Dec-31,ics_auth - Card Authorization,20251111,7:13:33,100,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,1111MCC247947  ,API https://apitest.cybersource.com/tss/v2/transactions/7628452132246978904807,7628452132246978904807,FALSE,20251111,5a65de33-ed73-4704-845b-8050adc0b2a9,20251110.1,M - Card verification number matched.,Y,831000,,555555,,,,,,
cybersource:authorization,7628448313586501604805,c22ecc3e-c212-43ff-aa37-aa3d16a9f58e,salequicktest001,VI,Visa,credit card,411111xxxxxx1111,1111,Dec-31,ics_auth - Card Authorization,20251111,7:07:11,100,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,016153570198200,API https://apitest.cybersource.com/tss/v2/transactions/7628448313586501604805,7628448313586501604805,FALSE,20251111,086018c8-2a6a-4f58-a4cf-b8d2b74bc1d9,20251110.1,,Y,831000,,411111,,,,,,
cybersource:authorization,7628514629976537003814,722ae837-4077-43dd-a613-8bd5ed032313,paydalatest001,VI,Visa,credit card,400000xxxxxx1000,1000,Jan-27,ics_auth - Card Authorization,20251111,8:57:43,102.21,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,016153570198200,API https://apitest.cybersource.com/tss/v2/transactions/7628514629976537003814,7628514629976537003814,FALSE,20251111,9d3b6b15-849a-4d1e-9381-0b0448d3e491,20251110.1,,Y,831000,,400000,,,,,,
cybersource:authorization,17628480185030029999500030,ca645556-53cd-4e75-8654-f83a7cd7282b,crest_test001,VI,Visa,credit card,411111xxxxxx1111,1111,Dec-28,ics_auth - Card Authorization,20251111,8:00:22,63.25,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,016153570198200,API https://apitest.cybersource.com/tss/v2/transactions/17628480185030029999500030,7628480185030029999500030,FALSE,20251111,11fd6299-1d81-4e08-9aaf-db0a058356c8,20251110.1,,1,831000,,411111,,,,,,
cybersource:authorization,7628512995696674403813,06861764-2005-49bd-ae15-a662fbc5acc2,paydalatest001,,,,xxxxxx,,/,ics_auth - Card Authorization,20251111,8:54:59,0,Declined,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",TRUE,,API https://apitest.cybersource.com/tss/v2/transactions/7628512995696674403813,,FALSE,20251111,6d4ac8f2-54c7-4d7d-9618-fe1c3294d014,20251110.1,,,,,,,,,,,
cybersource:authorization,7628510691596454003814,b42521f5-ac4a-47b2-af01-4280879ef586,paydalatest001,VI,Visa,credit card,400000xxxxxx1000,1000,Jan-27,ics_auth - Card Authorization,20251111,8:51:09,5,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,016153570198200,API https://apitest.cybersource.com/tss/v2/transactions/7628510691596454003814,7628510691596454003814,FALSE,20251111,81abeb17-0674-42bd-9596-3fa2daac6bd1,20251110.1,,Y,831000,,400000,,,,,,
cybersource:authorization,17628480183630029999500021,04bfa36f-5a60-4282-a08f-849dd8f744d7,crest_test001,VI,Visa,credit card,411111xxxxxx1111,1111,Dec-26,ics_auth - Card Authorization,20251111,8:00:22,20,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,016153570198200,API https://apitest.cybersource.com/tss/v2/transactions/17628480183630029999500021,7628480183630029999500021,FALSE,20251111,35e57e30-f867-4447-94ee-ca80bbef3b71,20251110.1,,Y,831000,,411111,,,,,,
cybersource:authorization,7628505448896481004807,dae2f408-0d87-40a1-9a2b-922c69160c49,9.601E+11,PD,,debit card,401704xxxxxx4265,4265,30-Nov,ics_pin_debit_purchase - PIN Debit Purchase,20251111,8:42:25,0.01,Declined,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,,API https://apitest.cybersource.com/tss/v2/transactions/7628505448896481004807,,FALSE,20251111,b1b8f38e-d8d7-4e24-bbf8-c0af034be6f6,20251110.1,,,,70000505,401704,contact,No,E002,E0021002000000,E002 WNB Retail,WOODFOREST TEST MID
cybersource:authorization,7628544342286240803814,9071cea4-9196-421c-a013-a5be02ff637e,salequicktest001,MC,Mastercard,credit card,xxxxxx4444,4444,Dec-31,ics_credit - Card Credit,20251111,9:47:14,100,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,1111MCC247947  ,API https://apitest.cybersource.com/tss/v2/transactions/7628544342286240803814,7628452132246978904807,FALSE,20251111,fcd4bad9-730f-4776-9dbe-a1c99f67b969,20251110.1,,,,,,,,,,,
cybersource:authorization,7628557233086078003813,2dcfa9f4-475b-416b-b2e4-632ddb32e773,paydalatest001,VI,Visa,credit card,400000xxxxxx1000,1000,Jan-27,ics_auth - Card Authorization,20251111,10:08:43,5,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,016153570198200,API https://apitest.cybersource.com/tss/v2/transactions/7628557233086078003813,7628557233086078003813,FALSE,20251111,efdd91d9-7134-41bf-af40-e169c0d31f81,20251110.1,,Y,831000,,400000,,,,,,
cybersource:authorization,7628619379576914804806,31441f5f-06d0-46e6-a1ec-62e1dc0d085e,9.601E+11,,,,xxxxxx,,/,ics_payment_cancel,20251111,11:52:18,0,Declined,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",TRUE,,API https://apitest.cybersource.com/tss/v2/transactions/7628619379576914804806,,FALSE,20251111,71bfdf35-bf4d-45ee-bbeb-9293d720c0af,20251110.1,,,,,,,,E002,E0021002000000,E002 WNB Retail,WOODFOREST TEST MID
cybersource:authorization,7628604890126809404806,4227b291-dea9-4992-af5a-c549a7a1b6be,9.601E+11,VI,Visa,credit card,411111xxxxxx1111,1111,Dec-28,ics_auth - Card Authorization,20251111,11:28:09,10,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,016153570198200,API https://apitest.cybersource.com/tss/v2/transactions/7628604890126809404806,1.11657E+11,FALSE,20251111,1979a7bf-f2c6-44c6-8732-0fbeec5f77c4,20251110.1,M - Card verification number matched.,Y,831000,70000504,411111,keyed,Yes,E002,E0021002000000,E002 WNB Retail,WOODFOREST TEST MID
cybersource:authorization,7628618118813232241656,fc117da8-0ff5-4d66-aa23-bd6d1ff88d11,9.601E+11,,,,xxxxxx,,/,ics_void - Voided Transactions,20251111,11:50:11,0,Declined,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",TRUE,,API https://apitest.cybersource.com/tss/v2/transactions/7628618118813232241656,,FALSE,20251111,fddb026b-ac81-4d4b-a01e-3ff3b491be1d,20251110.1,,,,,,,,E002,E0021002000000,E002 WNB Retail,WOODFOREST TEST MID
cybersource:authorization,7628606940076530304807,a8adb324-86e8-4a54-a621-cfa2b6a792c7,9.601E+11,VI,Visa,credit card,482028xxxxxx8167,8167,Apr-33,ics_credit - Card Credit,20251111,11:31:34,11.5,Declined,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,,API https://apitest.cybersource.com/tss/v2/transactions/7628606940076530304807,1.11701E+11,FALSE,20251111,8394a45f-5289-4e2d-ba3b-5cbf3ba65ea5,20251110.1,,,,50002709,482028,contactless,No,E002,E0021002000000,E002 WNB Retail,WOODFOREST TEST MID
cybersource:authorization,7628605978926473004807,7939a56a-055b-4e81-9c68-35e7064ee3ba,9.601E+11,VI,Visa,credit card,401704xxxxxx4265,4265,30-Nov,ics_auth - Card Authorization,20251111,11:29:57,0,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,016153570198200,API https://apitest.cybersource.com/tss/v2/transactions/7628605978926473004807,1.117E+11,FALSE,20251111,6152dbd8-c477-470d-8c29-c4e3a51ae5d4,20251110.1,,2,831000,70000501,401704,contactless,No,E002,E0021002000000,E002 WNB Retail,WOODFOREST TEST MID
cybersource:authorization,7628607507156943404806,5062bdf7-20dc-4c05-88c3-834d9b7c61ea,9.601E+11,VI,Visa,credit card,411111xxxxxx1111,1111,Dec-28,ics_auth - Card Authorization,20251111,11:32:30,26.45,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,016153570198200,API https://apitest.cybersource.com/tss/v2/transactions/7628607507156943404806,1.11702E+11,FALSE,20251111,14fc157a-81d2-4bb4-a087-5f5725a05e83,20251110.1,M - Card verification number matched.,Y,831000,50002709,411111,keyed,Yes,E002,E0021002000000,E002 WNB Retail,WOODFOREST TEST MID
cybersource:authorization,7628619326756497904807,7709f6a7-5e9b-49c2-9f55-ac2ba586ed61,trident1007,VI,Visa,credit card,411111xxxxxx1111,1111,Sep-35,ics_auth - Card Authorization,20251111,11:52:12,52,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,016153570198200,API https://apitest.cybersource.com/tss/v2/transactions/7628619326756497904807,7628619326756497904807,FALSE,20251111,4fe01c8e-6ab6-491f-b38b-95ee26c470f2,20251110.1,M - Card verification number matched.,Y,831000,,411111,,,,,,
cybersource:authorization,7628605359763232238442,12253c90-aa3e-4beb-a848-ed6e85419599,9.601E+11,,,,xxxxxx,,/,ics_void - Voided Transactions,20251111,11:28:56,0,Declined,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",TRUE,,API https://apitest.cybersource.com/tss/v2/transactions/7628605359763232238442,,FALSE,20251111,5421f55a-f76a-42b8-884d-900459c086ab,20251110.1,,,,,,,,E002,E0021002000000,E002 WNB Retail,WOODFOREST TEST MID
cybersource:authorization,7628597079376907604807,212bee76-1fa0-4f68-8b3e-e3ea54b86bde,9.601E+11,VI,Visa,credit card,401704xxxxxx4265,4265,30-Nov,ics_auth - Card Authorization,20251111,11:15:08,1,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",FALSE,016153570198200,API https://apitest.cybersource.com/tss/v2/transactions/7628597079376907604807,1.11644E+11,FALSE,20251111,abfb8f4c-66b4-4cf2-9359-4d0397c125e6,20251110.1,,Y,831000,70000504,401704,contactless,No,E002,E0021002000000,E002 WNB Retail,WOODFOREST TEST MID
cybersource:authorization,7628597621163232273495,0cd0a822-d2eb-4581-9ed2-5371050216ae,9.601E+11,,,,xxxxxx,,/,ics_auto_void_auth_reversal - Authorization Reversal after Void,20251111,11:16:02,0,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",TRUE,,API https://apitest.cybersource.com/tss/v2/transactions/7628597621163232273495,1.11644E+11,FALSE,20251111,bba4e255-67a4-4728-89b8-56c3715b1505,20251110.1,,,,,,,,E002,E0021002000000,E002 WNB Retail,WOODFOREST TEST MID
cybersource:authorization,7628613047473232236083,9357f743-3bf1-4414-84f8-9bfe1350a81a,9.601E+11,,,,xxxxxx,,/,ics_auto_void_auth_reversal - Authorization Reversal after Void,20251111,11:41:44,0,Approved,"{""countryName"":""United States"",""currencyCode"":""840"",""currencyName"":""US Dollar"",""currencyNumber"":""840"",""decimalPlaces"":2}",TRUE,,API https://apitest.cybersource.com/tss/v2/transactions/7628613047473232236083,1.11711E+11,FALSE,20251111,b09b161c-f2ab-4167-9770-ced75a79861b,20251110.1,,,,,,,,E002,E0021002000000,E002 WNB Retail,WOODFOREST TEST MID
